Engine Oil,,,,,,,,,,,,,
Sl. No.,Brand,Origin Country,Made In:,Grade,Type,Quantity,Buying Price (OMR),Branch Price (OMR),Selling Price (OMR),1 L price,500 ml  price,250ml price,
1,Toyota,,,,,,,,,,,,
,,Japan,UAE,20W-50,API: SL (Mineral),4L,4.580,4.800,5.500,1.500,0.700,0.300,
,,,,5W-30,API: SN (Fully Synthetic),4L,7.200,8.000,9.000,2.400,1.200,0.600,
,,,,0W-20,API: (Synthetic),4L,11.000,12.000,13.000,3.000,1.500,0.700,
2,Lexus,,,,,,,,,,,,
,,Japan,UAE,5W-40,API: SN (Synthetic),4L,7.200,8.000,9.000,2.400,1.200,0.600,
3,Shell,,,,,,,,,,,,
,,United Kingdom,Oman,20W-50,API: SN,4L,4.395,5.000,5.500,1.500,0.700,0.300,
,,,,5W-30,API: SN (Fully Synthetic),4L,7.250,8.000,9.000,2.400,1.200,0.600,
,,,,0W-20,API: SP ACEA C5 (Fully Synthetic),4L,9.000,10.500,11.500,2.900,1.400,0.700,
,,,,10W-40,API: SN/ACEA A3/B4,4L,6.250,7.000,8.000,2.000,1.000,0.500,
,,,,5W-30 (Hyundai),API: SN/ACEA A3/B4,4L,6.250,7.000,8.000,2.000,1.000,0.500,
4,Shell (Diesel),,,,,,,,,,,,
,,United Kingdom,Oman,15W-40 R4,X,4L,4.625,5.000,5.500,1.500,0.700,0.400,
,,,,15W-40 R4,X,5L,5.833,6.000,7.000,1.500,0.700,0.400,
,,,,20W-50 R2,API: CH-4,4L,5.000,5.000,6.000,1.500,0.700,0.400,
,,,,20W-50 R2,API: CH-4,5L,6.333,7.000,7.500,1.500,0.700,0.400,
5,ACDelco,,,,,,,,,,,,
,,America,UAE,20W-50,API: SL,4L,4.825,5.000,5.500,1.500,0.700,0.300,
,,,,10W-40,API: SN/ACEA A3/B4,1L,1.200,1.800,2.000,2.000,1.000,0.500,
,,,,10W-30,API: SN/ILSAC GF-5,4L,5.700,6.000,7.000,1.700,0.900,0.500,
,,,,5W-40,API: SN/ACEA A3/B4,4L,8.500,9.000,9.500,2.000,1.000,0.500,
,,,,5W-40,API: SN/ACEA A3/B4,1L,1.200,1.800,2.000,2.000,1.000,0.500,
,,,,5W-30,API: SP/ILSAC GF-6A (Fully Synthetic),4L,9.550,10.000,11.500,,,,
,,,,5W-20,API: SN/ILSAC GF-5,4L,4.825,6.000,7.000,,,,
,,,,0W-20,API: SP/ILSAC GF-6A (Fully Synthetic),4L,10.825,11.000,11.500,,,,
6,BP,,,,,,,,,,,,
,,United Kingdom,UAE,20W-50 (2000),API: SJ ,4L,4.890,5.300,6.000,1.500,0.700,0.400,
,,,,20W-50 (3000),API: SL,4L,6.250,7.000,7.000,1.800,0.900,0.500,
7,Canroyal,,,,,,,,,,,,
,,Canada,Oman,20W-50,API: SL/ACEA A3/B4,4L,3.400,4.000,4.500,1.200,0.600,0.300,
,,,,5W-30,API: SN/ILSAC GF-5 (Fully Synthetic),4L,5.160,6.000,6.500,1.700,0.800,0.400,
,,,,0W-20,API: SN/GF-5 (Fully Synthetic),5L,7.050,8.000,9.000,2.000,1.000,0.500,
,,,,0W-16,API: SN/ILSAC GF-5 (Fully Synthetic),5L,8.000,9.000,10.000,2.000,1.000,0.500,
8,Castrol,,,,,,,,,,,,
,,United Kingdom,UAE,20W-50 GTX,API: SL,4L,6.300,6.500,7.000,1.800,0.900,0.500,
,,,,10W-40 MAGNATEC,API: SP,4L,8.000,8.500,8.500,2.200,1.100,0.600,
,,,,5W-40 EDGE,ACEA A3/B4,4L,17.750,18.000,19.000,4.800,2.400,1.200,
,,,,5W-30 MAGNATEC,API: SP/ILSAC GF-6 (Fully Synthetic),4L,10.300,11.000,12.000,3.000,1.500,0.800,
,,,,0W-20 MAGNATEC,API: SP/ILSAC GF-6 (Fully Synthetic),4L,10.600,13.000,14.000,3.500,1.800,0.900,
9,Adnoc,,,,,,,,,,,,
,,UAE,UAE,10W-40,API: SN ACEA A3/B4 (Synthetic),4L,,,,,,,
10,Ford,,,,,,,,,,,,
,,America,UAE,5W-30,API: SP/ILSAC GF-6A (Synthetic),4L,6.300,6.500,7.000,1.800,0.900,0.500,
,,,,5W-20,API: SP/ILSAC GF-6A (Synthetic),4L,6.200,6.500,7.000,1.800,0.900,0.500,
11,Honda,,,,,,,,,,,,
,,Japan,Oman,5W-30,API: SN (Synthetic),4L,7.400,8.000,9.000,2.400,1.200,0.600,
,,,,0W-20,API: SP ILSAC GF-6A (Synthetic),4L,10.750,11.500,13.000,3.300,1.700,0.900,
12,LiquiMoly,,,,,,,,,,,,
,,Germany,Germany,10W-40,8538 API: SL ACEA A3/B4 (Synthetic),4L,11.000,11.500,12.000,,,,
,,,,5W-30,9089 API: SP ILSAC GF-6A (Synthetic),4L,12.000,12.500,13.500,,,,
,,,,5W-20,8540 API: SP ILSAC GF-6A (Synthetic),5L,16.000,16.500,17.000,,,,
,,,,0W-20,,5L,16.000,16.500,17.000,,,,
,,,,,,,,,,,,,
13,Lotus,,,0W-16,,4L,,,,,,,
14,Mannol,,,,,,,,,,,,
,,Germany,Germany,5W-40,7903 API: SN/CH-4 ACEA A3/B4 (Fully Sythetic),4L,8.000,9.000,10.000,,,,
,,,,5W-30,7511 API: SN/CH-4 ACEA A3/B4 (Fully Sythetic),4L,6.250,8.000,9.000,,,,
,,,,0W-20,7918 API: SP (RC) ILSAC GF-6A (Fully Synthetic),4L,8.000,8.000,9.500,,,,
,,,,0W-16,7920 API: SP (RC) ILSAC GF-6B (Fully Synthetic),4L,8.000,9.000,10.500,,,,
15,Mazda,,,,,,,,,,,,
,,Japan,UAE,10W-30,API: SN ,4L,6.000,7.000,8.000,,,,
,,,,5W-30,API: SN (Fully Synthetic),4L,7.000,8.000,9.000,,,,
16,Mercedes,,,,,,,,,,,,
,,Germany,Germany,5W-40,MB 229.5,1L,2.572,??,3.000,,,,
17,Mobil,,,,,,,,,,,,
,,France,France,20W-50,API: SL,4L,6.000,6.000,6.500,,,,
,,,,10W-40,API: SN PLUS ACEA A3/B3 (Semi Synthetic),4L,8.000,8.000,8.500,,,,
,,,,5W-30,API: SN/SM ILSAC GF-5 (Semi Synthetic),4L,7.000,8.000,9.000,,,,
,,,,,"API: SN ACEA A3/B3, A3/B4 (Semi Synthetic)",4L,16.500,17.000,19.000,,,,
18,Mopar,,,,,,,,,,,,
,,America,Oman & USA,5W-30 USA,API: SP ILSAC GF-6A (Synthetic),5L,13.000,13.500,15.000,,,,
,,,,5W-30 OMAN,API: SP ILSAC GF-6A,4L,8.500,9.000,10.000,,,,
,,,,5W-20 USA,API: SP ILSAC GF-6A (Synthetic),5L,13.000,13.500,15.000,,,,
,,,,5W-20 OMAN,API: SP ILSAC GF-6A (Synthetic),4L,8.500,9.000,10.000,,,,
19,Nissan,,,,,,,,,,,,
,,Japan,UAE,20W-50,API: SN (Mineral),4L,5.050,5.500,6.000,,,,
,,,,5W-30,API: SP/GF-6 (Fully Synthetic),4L,7.650,8.000,9.000,,,,
20,Optimo (Omanoil),,,,,,,,,,,,
,,Oman,UAE,20W-50,API: SL ,4L,4.000,4.500,5.000,,,,
21,Phillips,,,,,,,,,,,,
,,Oman,UAE,20W-50,API: SL,4L,3.000,3.500,4.000,,,,
,,,,5W-30,API: SN,4L,4.000,5.500,6.000,,,,
,,,,0W-20,API: SN,4L,4.000,6.000,7.000,,,,
22,Senfineco,,,,,,,,,,,,
,,Germany,Germany,20W-50,8907 API: SL PremiumSX (Multigrade),5L,8.670,9.000,9.500,,,,
,,,,10W-40,8927 API: SN ACEA A3/B4 SynthHC (Semi Synthetic) ,5L,9.825,10.500,11.000,,,,
,,,,5W-40,,,9.375,,10.500,,,,
,,,,5W-30,8945 API: SP ILSAC GF-6 SynthPro (Fully Synthetic),5L,9.833,11.000,12.000,,,,
,,,,5W-20,8947 API: SP ILSAC GF-6 SynthPro (Fully Synthetic),5L,9.975,10.500,11.000,,,,
,,,,0W-20,8977 API: SP ILSAC GF-6 SynthUltra (Fully Synthetic),5L,10.625,11.000,13.000,,,,
,,,,0W-16,8980 API: SP ILSAC GF-6 SynthUltra (Fully Synthetic),5L,11.000,12.000,13.000,,,,
23,Servo,,,,,,,,,,,,
,,India,India,5W-30,API: SN ILSAC GF-5(Synthetic),4L,,,,,,,
24,Total,,,,,,,,,,,,
,,,,20W-50,API: SL,4L,4.900,5.000,5.500,,,,
,,,,10W-40,API: SN ACEA A3/B4 (Synthetic),4L,6.500,7.000,8.000,,,,
,,,,5W-30,API: SP ILSAC GF-6A (Fully Synthetic),4L,7.100,8.000,9.000,,,,
25,Veedol,,,,,,,,,,,,
,,United Kingdom,UAE,10W-40,API: SL,4L,6.400,7.000,8.000,,,,
,,,,10W-30,API: SL,4L,6.400,7.000,8.000,,,,
,,,,5W-30,API: SN/ACEA A3/B4 (Fully Synthetic),4L,7.860,8.000,9.000,,,,
,,,,5W-20,API: SN/ACEA A5/B5 (Fully Synthetic),4L,7.860,8.000,9.000,,,,
,,,,0W-20,API: SN/ACEA A5/B5 (Fully Synthetic),4L,8.490,9.000,10.000,,,,
26,ZIC,,,,,,,,,,,,
,,South Korea,South Korea,20W-50,API: SN PLUS (Synthetic),4L,5.000,5.000,5.500,,,,
,,,,15W-40,API: SM (Classic),4L,4.670,5.000,5.000,,,,
,,,,10W-40,API: SP (Fully Synthetic),4L,6.750,8.000,8.500,,,,
,,,,5W-30,API: SP ILSAC GF-6 (Fully Synthetic),4L,8.750,9.000,9.500,,,,
,,,,5W-20,API: SP ILSAC GF-6 (Fully Synthetic),4L,8.750,9.000,9.500,,,,
,,,,0W-20,API: SP ILSAC GF-6 (Fully Synthetic),4L,8.750,9.000,10.000,,,,
27,Zinol,,,,,,,,,,,,
,,France,UAE,20W-50 (5000),API: SL,4L,3.830,4.000,4.500,,,,
,,,,20W-50 (2000),API: SJ (Multigrade),4L,3.000,3.500,4.000,,,,
,,,,5W-30,API: SL (Semi Synthetic),5L,5.000,6.000,6.000,,,,
